email_id,contact_no,address1,address2,address3
eliasson.evald@gmail.com,"+46 (0)745 886 289","Jimgatan 67T",Näsum,"882 28"
engelbert36@sundstrom.com,"+46 (0)8 486 59 13","Engström Väg 4K",Stenhamra,"532 00"
jlundin@berg.net,+46(0)7031229,"Vasastigen 2",Yttersjö,17281
aberg.werner@blomqvist.com,"+46 132 232 629","Linnébacken 3318",Sundhultsbrunn,"582 63"
tove.lindberg@nystrom.com,045780160,"Linnéliden 1",Björna,59430
vjansson@gmail.com,"018-310 060","Tureliden 24I",Köping,"414 89"
harriet49@sundstrom.info,"+46 (0)19 92 86 04","Fredriksson Gata 219",Skriketorp,20801
farvidsson@gmail.com,"095-611 95 21","Brunnsgatan 63B",Hackås,"947 96"
wlindholm@sundstrom.com,"08-60 50 27","Sjögrenvägen 8I",Gamleby,"915 62"
falk.anshelm@nystrom.com,020655551,"Linnébacken 78",Marmorbyn,71785
viggo.sjogren@lundin.com,+46(0)7028837,"Lillliden 110",Ekeby,"416 32"
leontina.jonasson@henriksson.biz,"+46 (0)8 868 28 21","Håkansson Gata 46",Åmål,86187
glundstrom@yahoo.com,+46(0)233410582,"Marianavägen 94E",Veinge,"177 21"
oolofsson@falk.net,"050-48 68 23","Per-Erikvägen 6",Teckomatorp,79871
daga60@lundqvist.org,+46(0)652652531,"Lundström Gata 4",Herrestad,"331 06"
hfredriksson@hotmail.com,"08-906 10 00","Brunnsbacken 2829","Kumla kyrkby","778 63"
gunnarsson.reinhold@hotmail.com,"+46 (0)141 469 26","Berg Allé 37I",Hoting,"289 06"
werner30@gmail.com,014557105,"Mårtenssonstigen 221",Torestorp,"160 73"
kurt53@gmail.com,044039095,"Hamnstigen 2",Jäderfors,"540 98"
kholmgren@hotmail.com,"0880-765 29","Larsson Väg 98",Stugun,63265
friedrich.stromberg@martinsson.com,"08-255 398 30","Ringvägen 922",Strömstad,55290
kent.strom@yahoo.com,"087-93 32 41","Brunnsliden 6547",Söderhamn,"117 83"
mimmi.hansson@hotmail.com,"+46 569 505 099","Sixtenbacken 90","Skavkulla och Skillingenäs",64754
jonny.abrahamsson@hotmail.com,"078-771 525","Ringbacken 9",Herrljunga,"507 00"
dviklund@larsson.biz,"08-043 155 39","Ringgränd 3G",Åmsele,78484
gviklund@yahoo.com,"032-458 08 43","Marinabacken 81",Lundsbrunn,88693
mathilda.fransson@hotmail.com,"030-000 10 59","Holmbergbacken 28",Stenungsön,73560
bjork.kalevi@gunnarsson.biz,068283733,"Linnégränd 52F",Hälleviksstrand,"225 67"
annemarie.mansson@jonsson.org,+4657807833,"Lillvägen 168",Viksjöfors,52284
stromberg.tryggve@yahoo.com,+46(0)719632243,"Åkessongränd 63",Totebo,25595
johansson.helena@magnusson.com,"+46 (0)9046386","Lillstigen 540",Rävemåla,"530 96"
dagmar51@engstrom.biz,"08-444 225 48","Hildagatan 282",Backberg,53797
hjakobsson@hotmail.com,+46(0)4609720,"Sölvevägen 93",Agunnaryd,19323
arvidsson.marianne@jansson.org,+46731230309,"Rogervägen 6144",Gnosjö,"636 43"
hedvig35@hotmail.com,"+46 (0)97 94 92 29","Lillgatan 8117",Löddeköpinge,"958 11"
gustaf.gustafsson@yahoo.com,022696637,"Fredsstigen 34",Öxeryd,"371 56"
hpettersson@lundqvist.com,+46(0)4067758,"Brunnsliden 2L",Åkarp,15368
bergqvist.ingalena@gmail.com,"+46 (0)430 420 33","Samuelsson Gata 9218",Högsby,"260 87"
lnilsson@lundqvist.info,"+46 (0)7316205","Hamnstigen 86P",Örebro,"205 95"
cakesson@lindqvist.org,"088-70 30 14","Vasavägen 8",Stavsnäs,18737
ujohansson@yahoo.com,"0115-659 68","Paulastigen 9J",Emtunga,"372 96"
claesson.fredrik@yahoo.com,+46(0)2864789,"Sundqvistvägen 42",Laxvik,88983
skarlsson@danielsson.com,+46(0)3446672,"Hellström Backe 809",Forsheda,38439
bergstrom.joachim@hansson.org,095885825,"Stevestigen 52J",Myresjö,"301 78"
laxelsson@magnusson.info,"0302-850 38","Storvägen 48X",Götene,48340
kenny30@hotmail.com,0449689034,"Lundqvist Backe 164",Bromölla,58874
helga36@yahoo.com,"061-67 59 74","Sjöstigen 9",Sommen,34261
hilmer81@pettersson.com,"+46 (0)4175398","Hamnliden 51",Fågelfors,78435
sundstrom.lilian@gmail.com,+46(0)7555359,"Lillstigen 4D",Tuna,88391
konstantin.jonasson@gmail.com,"08-26 54 67","Brunnsliden 7387",Grillby,16784
alida.strom@yahoo.com,"+46 (0)68495077","Sjögränd 990",Edsbro,"139 95"
xfransson@yahoo.com,"+46 (0)33079408","Andreassonvägen 7W","Aröd och Timmervik",89643
ragnar.blom@berglund.net,"+46 (0)491 845 34","Linnégränd 504","Sticklinge udde","282 10"
magnusson.frits@danielsson.biz,"+46 319 430 532","Christinliden 1Q",Öregrund,40527
olavi.martinsson@gmail.com,"+46 (0)8 099 75 08","Storbacken 9O",Stidsvig,"702 70"
pgustafsson@gmail.com,+4627192413,"Hamnstigen 994",Torsång,"237 83"
nystrom.kare@nordin.net,+463145747,"Vasagränd 8230",Lidköping,32792
eek@hansen.com,"+46 (0)6676493","Ringstigen 17Q","Västra Hagen",32964
svensson.dora@falk.biz,"08-601 44 54","Lindqviststigen 3G",Åsen,"594 97"
soren.ivarsson@hotmail.com,+46(0)900494527,"Lillstigen 7Q",Råda,78579
rclaesson@yahoo.com,"+46 (0)692 384 798","Drottninggränd 67C",Gulleråsen,"250 20"
ysvensson@sjogren.info,"08-96 45 20","Brunnsstigen 2599",Arild,79686
pnyberg@yahoo.com,081851108,"Fredsliden 894",Sjöberg,"501 55"
larsake.nordstrom@eriksson.com,"0192-935 41","Anna-Lisavägen 8",Tomelilla,"673 24"
sivert.axelsson@bergqvist.net,"075-880 838","Lindberggränd 748",Gärsnäs,39772
marcus20@yahoo.com,"08-864 58 65","Storgränd 191",Bua,52123
tora75@gmail.com,"075-184 74 35","Linnégränd 1A",Kvissleby,"893 22"
sundqvist.karola@arvidsson.org,"+46 840 522 166","Lillbacken 30",Lunde,41683
siri.dahlberg@hansson.com,"0241-834 00","Storgränd 7",Tenhult,"940 56"
jakobsson.alf@hotmail.com,+469627690,"Lundgrenbacken 6",Håksberg,"582 93"
berndt.nordstrom@hotmail.com,"08-809 223 02","Kungsstigen 42T",Uddeholm,"568 14"
gblomqvist@hotmail.com,"+46 (0)341 318 622","Lillbacken 4L",Bollebygd,32475
ivarsson.carlgustav@lind.org,"08-76 31 21","Sjögränd 17",Drag,46382
soderberg.ingalill@norberg.com,+46(0)4715020,"Drottningvägen 2721",Hofterup,65255
zbergqvist@gmail.com,"08-35 56 31","Fredsstigen 1",Djura,"920 76"
christel.bergqvist@yahoo.com,035360661,"Fredrikssonliden 2J",Mehedeby,86819
gerd13@lundstrom.net,"+46 (0)990 223 73","Linnéliden 83E",Eneryda,90681
ingalill.nystrom@wallin.com,"+46 (0)8 330 16 02","Hansenliden 3Z",Kyrkheddinge,72754
tsamuelsson@sundqvist.biz,"+46 (0)8 932 36 51","Linnégatan 6685",Hemmingsmark,"992 73"
berggren.adam@eliasson.net,"08-789 386 46","Wilhelmvägen 9038",Linghed,36368
olov.aberg@yahoo.com,0160068349,"Fredsgatan 1R",Söderby-Karl,"823 67"
holmberg.mattias@gmail.com,+46(0)661414070,"Dahlbergbacken 5",Långviksmon,44229
olsson.marta@gmail.com,"+46 (0)20823192","Malteliden 10C",Rydal,"563 77"
leila87@gmail.com,0962593748,"Kungsgatan 4862",Perstorp,"970 22"
alexis50@wikstrom.org,"+46 (0)8 993 57 26","Linnégatan 8293",Arjeplog,47785
lhellstrom@ekstrom.com,+4641873764,"Simongränd 4",Kode,76666
bodil.fredriksson@gmail.com,+46856179449,"Ellystigen 4",Strömsbruk,52779
leander38@gmail.com,"+46 (0)8 142 68 23","Kungsstigen 7227",Silverdalen,"896 42"
evelyn40@sandberg.biz,"014-541 68 56","Brunnsgränd 14X",Habo,76280
cholmberg@lind.biz,+46396790021,"Hamngatan 7","Häggeby och Vreta","745 44"
abergman@gustafsson.com,"08-220 81 47","Marie-Louisegatan 78","Upplands Väsby",32155
villy.gunnarsson@olofsson.net,"+46 (0)731 836 93","Ralphstigen 2219",Östervåla,"915 87"
sjogren.majlis@yahoo.com,+46857163549,"Kungsliden 374",Vilshult,"589 46"
anne.lindholm@soderberg.info,+46(0)4459055,"Perstigen 58G",Arnö,76242
gertie.lund@yahoo.com,"+46 (0)241 411 265","Linnéliden 8V",Korpilombolo,27837
nwikstrom@eriksson.com,"042-693 92 05","Joelbacken 5747",Mala,81744
vengstrom@lindgren.com,"+46 (0)8 163 43 64","Linnégränd 429",Väröbacka,65999
tekla85@eklund.com,"+46 (0)7729494","Hedlundliden 39",Vittsjö,"935 16"
tandreasson@gmail.com,"+46 (0)655 283 935","Carolinebacken 8",Kovland,"843 43"
katharina59@gmail.com,"+46 (0)819 779 74","Vasavägen 9I",Flisby,"549 04"
