person_id,first_name,last_name,address1,address2,address3,email,phone,DOB
199411074709,Andrea,Berg,Nyström Gata 7,Ödeshög,22856,elsemarie.hedlund@hotmail.com,0894-667 57,1994-11-07
201612269576,Pierre,Eklund,Småbacken 69Y,Oskarström,964 22,fabian82@gmail.com,+46(0)4547926,2016-12-26
201402011416,Ingeborg,Pettersson,Mattssongatan 986,Hok,884 18,waldemar.lundberg@bjork.org,+46 (0)473 860 16,2014-02-01
200806236838,Lilian,Claesson,Sjögatan 83,Norsholm,615 36,gmagnusson@hotmail.com,08-101 164 49,2008-06-23
201308076473,Frank,Lundgren,Hamnbacken 54D,Stavsnäs,30372,orjan.stromberg@yahoo.com,+46(0)517871054,2013-08-07
198909203428,Betty,Nyberg,Vasastigen 6F,Skummeslövsstrand,153 24,sten.abrahamsson@bjorklund.biz,021-81 59 17,1989-09-20
197004243971,Heribert,Wikström,Linnéliden 20,Svappavaara,661 89,morgan30@henriksson.com,+46 (0)8380478,1970-04-24
198703059843,Kersti,Jönsson,Björklundgränd 872,Kållekärr,65631,jerry.pettersson@dahlberg.com,+46 (0)436 470 49,1987-03-05
198610295447,Hardy,Lundberg,Linnévägen 4,Skee,14927,ursula.palsson@jakobsson.com,0803-492 85,1986-10-29
200208052757,Gunhild,Sundqvist,Drottninggränd 2X,Marielund,506 51,blenda52@wallin.biz,+469001400,2002-08-05
199402111414,Lisa,Gustafsson,Småvägen 310,Björna,395 19,viklund.ted@gmail.com,0459600236,1994-02-11
198804147586,Lisa,Berg,Storliden 62K,Kvidinge,39900,johansson.johny@yahoo.com,08-682 62 05,1988-04-14
201403021861,Carl,Sjögren,Olofssonliden 2,Limmared,59559,falk.gudmund@lofgren.net,+46 (0)89438466,2014-03-02
201701300673,Eva-Britt,Jönsson,Margitavägen 21B,Bunkeflostrand,27585,wikstrom.brita@gmail.com,096-34 80 63,2017-01-30
200406172834,Edith,Bengtsson,Vasabacken 84,Vaplan,58251,sten.claesson@yahoo.com,057261982,2004-06-17
198708036303,Jan-Ove,Sandström,Kennystigen 38R,Kusmark,49515,yhenriksson@gmail.com,+46 (0)683 644 02,1987-08-03
201009272899,Sune,Fransson,Lenavägen 99E,Skogstorp,12328,twikstrom@wallin.com,0154-646 10,2010-09-27
197310180983,Magnus,Dahlberg,Drottninggränd 8560,Östra Karup,177 12,zmansson@hotmail.com,+46 (0)813 850 15,1973-10-18
197905155731,Heinz,Björklund,Lillbacken 2406,Löttorp,91545,janolof33@yahoo.com,+46(0)1834109,1979-05-15
198710268871,Teresia,Jonasson,Brunnsstigen 9497,Vedevåg,342 33,folke.bengtsson@sandstrom.com,+464216775,1987-10-26
198901236348,Leontina,Lund,Hamngatan 583,Jäderfors,883 06,joachim83@sandstrom.org,0681559626,1989-01-23
201209159633,Severin,Sundberg,Lillliden 43,Röda holme,62039,pettersson.hansolof@gmail.com,+46 (0)6148292,2012-09-15
198706269116,Virginia,Isaksson,Holmqviststigen 3,Ås,963 27,alfons.hakansson@hotmail.com,08-985 07 92,1987-06-26
199505021381,Ingrid,Eklund,Åkessongatan 7,Taberg,809 25,jlindholm@berggren.info,+46 806 300 782,1995-05-02
199805028388,Fritjof,Hermansson,Drottninggränd 9,Lilla Stenby,69826,martinsson.vilhelmina@gmail.com,+46(0)95236708,1998-05-02
201703028934,Konstantia,Holmqvist,Gärdgränd 48,Ullervad,274 00,ferdinand59@holmberg.com,+46(0)6904619,2017-03-02
197905133280,Tina,Sjöberg,Kajgatan 542,Heberg,769 90,adele.johansson@hotmail.com,049-569 532,1979-05-13
